Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
"Ekonomi, administration och försäljning",E-Commerce Manager ,Skåne,Malmö,1,False,400,IHM Business School AB Malmö,2020,MYH 2020/5060
"Ekonomi, administration och försäljning",E-Commerce Manager ,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2020,MYH 2020/5133
"Ekonomi, administration och försäljning",E-Commerce Manager ,Västra Götaland,Göteborg,1,False,400,IHM Business School AB Göteborg,2020,MYH 2020/5107
"Ekonomi, administration och försäljning",Ekonomi- och redovisningskonsult,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2020,MYH 2020/4595
"Ekonomi, administration och försäljning",Företagssäljare/B2B,Skåne,Lund,1,False,400,Hermods AB Lund,2020,MYH 2020/3816
"Ekonomi, administration och försäljning",Försäkringsrådgivare/Skadereglerare/Riskbedömare ,Stockholm,Stockholm,1,False,400,Företagsekonomiska Institutet 1888 AB,2020,MYH 2020/5865
"Ekonomi, administration och försäljning",Hållbarhetsspecialist,Stockholm,Stockholm,1,False,400,Stockholms Internationella Handelsskola AB,2020,MYH 2020/4711
"Ekonomi, administration och försäljning",Hälso- och vårdadministratör,Skåne,Landskrona,1,False,400,"Landskrona Stad, Yrkeshögskolan Landskrona",2020,MYH 2020/5305
"Ekonomi, administration och försäljning",Inköp & Supply Management,Norrbotten,Luleå,1,False,425,NBI i Sverige AB,2020,MYH 2020/4974
"Ekonomi, administration och försäljning",Inköp & Supply Management,Västra Götaland,Göteborg,1,False,425,NBI i Sverige AB,2020,MYH 2020/4975
"Ekonomi, administration och försäljning",Inköp & Supply Management ,Kronoberg,Växjö,1,False,425,NBI i Sverige AB,2020,MYH 2020/4971
"Ekonomi, administration och försäljning",Inköpare & Upphandlare ,Västmanland,Västerås,1,False,415,Plushögskolan AB - Affärshögskolan,2020,MYH 2020/4061
"Ekonomi, administration och försäljning",International Account Manager,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2020,MYH 2020/4597
"Ekonomi, administration och försäljning",Internationell inköpare,Stockholm,Stockholm,1,False,400,Stockholms Internationella Handelsskola AB,2020,MYH 2020/4716
"Ekonomi, administration och försäljning",Internationell inköpare inom textil/mode/funktion,Västra Götaland,Borås,1,False,400,Stiftelsen PROTEKO - Nordiska Textilakademin,2020,MYH 2020/5789
"Ekonomi, administration och försäljning",Internationell redovisningsekonom,Stockholm,Stockholm,1,False,400,Stockholms Internationella Handelsskola AB,2020,MYH 2020/4722
"Ekonomi, administration och försäljning",Internationell redovisningsekonom,Östergötland,Norrköping,1,False,400,Stockholms Internationella Handelsskola AB,2020,MYH 2020/4710
"Ekonomi, administration och försäljning",Internationell säljare och marknadsförare,Västra Götaland,Göteborg,1,False,400,Sälj & Marknadshögskolan i Sverige AB,2020,MYH 2020/4349
"Ekonomi, administration och försäljning",Key Account Manager,Västra Götaland,Göteborg,1,False,200,Sälj & Marknadshögskolan i Sverige AB,2020,MYH 2020/4341
"Ekonomi, administration och försäljning","Kvalificerad Lönekonsult, digitala systemlösningar",Flera kommuner,Flera kommuner,2,True,400,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ,2020,MYH 2020/5449
