Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare,Huvudmannatyp,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Ansökningsomgång,Diarienummer,Beslut
Data/IT,Certifierad AI-arkitekt ,Stockholm,Stockholm,1,False,400,Bunden,100,Lernia Utbildning AB,Privat,3,0,105,0,35,2020,MYH 2020/5076,False
Data/IT,Cloud and IT-infrastructure specialist,Kalmar,Kalmar,1,False,400,Bunden,100,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",Kommun,3,3,75,75,25,2020,MYH 2020/4804,True
Data/IT,Cloud developer Azure,Stockholm,Stockholm,1,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,3,0,90,0,30,2020,MYH 2020/5756,False
Data/IT,Cloud developer Azure,Västra Götaland,Göteborg,1,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,3,3,90,90,30,2020,MYH 2020/5759,True
Data/IT,Cloud och Infrastrukturspecialist,Kronoberg,Växjö,1,False,420,Bunden,100,EC Utbildning AB Växjö,Privat,4,0,128,0,32,2020,MYH 2020/5567,False
Data/IT,Cloud och Infrastrukturspecialist,Skåne,Helsingborg,1,False,420,Bunden,100,EC Utbildning AB Helsingborg,Privat,3,0,96,0,32,2020,MYH 2020/5264,False
Data/IT,Cloud Software Developer,Västmanland,Västerås,1,False,400,Distans,100,YrkesAkademin YH AB,Privat,5,0,150,0,30,2020,MYH 2020/4567,False
Data/IT,Cloud Software Developer – AWS,Stockholm,Södertälje,1,False,400,Distans,100,YrkesAkademin YH AB,Privat,5,0,150,0,30,2020,MYH 2020/4354,False
Data/IT,Cloud Software Developer – AWS,Västernorrland,Sundsvall,1,False,400,Distans,100,YrkesAkademin YH AB,Privat,5,0,150,0,30,2020,MYH 2020/4336,False
Data/IT,Cloud Software Developer - Azure,Uppsala,Uppsala,1,False,400,Distans,100,YrkesAkademin YH AB,Privat,5,0,150,0,30,2020,MYH 2020/4964,False
Data/IT,Cloudutvecklare AWS,Stockholm,Stockholm,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5647,False
Data/IT,Cloudutvecklare Azure,Stockholm,Stockholm,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5667,False
Data/IT,Cloudutvecklare Azure,Västra Götaland,Göteborg,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5677,False
Data/IT,Cloudutveckling med specialisering på Azure,Jönköping,Jönköping,4,True,400,Distans,100,Consid Excellerate AB ,Privat,5,0,35,0,7,2020,MYH 2020/4805,False
Data/IT,Cloudutveckling med specialisering på Azure,Skåne,Malmö,4,True,400,Distans,100,Consid Excellerate AB ,Privat,5,0,35,0,7,2020,MYH 2020/4805,False
Data/IT,Cloudutveckling med specialisering på Azure,Stockholm,Stockholm,4,True,400,Distans,100,Consid Excellerate AB ,Privat,5,0,40,0,8,2020,MYH 2020/4805,False
Data/IT,Cloudutveckling med specialisering på Azure,Västra Götaland,Göteborg,4,True,400,Distans,100,Consid Excellerate AB ,Privat,5,0,40,0,8,2020,MYH 2020/4805,False
Data/IT,Customer Data Developer,Stockholm,Stockholm,1,False,400,Bunden,100,IHM Business School AB Stockholm,Privat,3,0,105,0,35,2020,MYH 2020/4834,False
Data/IT,Customer Data Developer,Västra Götaland,Göteborg,1,False,400,Bunden,100,IHM Business School AB Göteborg,Privat,3,0,105,0,35,2020,MYH 2020/4835,False
Data/IT,Cyber Security Specialist,Västra Götaland,Uddevalla,1,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,5,0,150,0,30,2020,MYH 2020/4616,False
Data/IT,Cybersäkerhet Penetrationstestare,Dalarna,Borlänge,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Jönköping,Jönköping,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Kronoberg,Växjö,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Skåne,Malmö,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Stockholm,Stockholm,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Västernorrland,Sundsvall,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Västra Götaland,Göteborg,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Örebro,Örebro,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Östergötland,Linköping,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhet Penetrationstestare,Östergötland,Norrköping,10,True,400,Distans,100,Kvadrat Jönköping AB,Privat,3,0,6,0,2,2020,MYH 2020/5521,False
Data/IT,Cybersäkerhetsspecialist,Gävleborg,Gävle,3,True,400,Bunden,100,Iris Hadar AB,Privat,3,0,45,0,15,2020,MYH 2020/5314,False
Data/IT,Cybersäkerhetsspecialist,Västernorrland,Sundsvall,3,True,400,Bunden,100,Iris Hadar AB,Privat,3,0,45,0,15,2020,MYH 2020/5314,False
Data/IT,Cybersäkerhetsspecialist,Västernorrland,Örnsköldsvik,3,True,400,Bunden,100,Iris Hadar AB,Privat,3,0,15,0,5,2020,MYH 2020/5314,False
Data/IT,Cybersäkerhetstekniker,Stockholm,Stockholm,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5688,False
Data/IT,Cybersäkerhetstekniker,Västra Götaland,Göteborg,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5695,False
Data/IT,Data Analyst,Stockholm,Stockholm,1,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,5,3,175,105,35,2020,MYH 2020/5145,True
Data/IT,Data Artist - Machine Learning & Visual Design STOCKHOLM,Stockholm,Stockholm,1,False,400,Bunden,100,Medieinstitutet i Sverige AB,Privat,3,0,105,0,35,2020,MYH 2020/5773,False
Data/IT,Data Scientist,Skåne,Helsingborg,2,True,400,Bunden,100,EC Utbildning AB Helsingborg,Privat,3,3,45,45,15,2020,MYH 2020/5325,True
Data/IT,Data Scientist,Skåne,Malmö,2,True,400,Bunden,100,EC Utbildning AB Helsingborg,Privat,3,3,60,60,20,2020,MYH 2020/5325,True
Data/IT,Data Scientist,Skåne,Malmö,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5708,False
Data/IT,Data Scientist,Stockholm,Solna,1,False,400,Bunden,100,EC Utbildning AB Stockholm,Privat,3,3,105,105,35,2020,MYH 2020/5003,True
Data/IT,Data Scientist,Stockholm,Stockholm,1,False,400,Bunden,100,Iris Hadar AB,Privat,2,0,68,0,34,2020,MYH 2020/5034,False
Data/IT,Data Scientist,Stockholm,Stockholm,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5705,False
Data/IT,Data Scientist,Västra Götaland,Göteborg,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5710,False
Data/IT,Dataanalytiker,Gävleborg,Gävle,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,15,0,5,2020,MYH 2020/5795,False
Data/IT,Dataanalytiker,Skåne,Malmö,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,21,0,7,2020,MYH 2020/5795,False
Data/IT,Dataanalytiker,Stockholm,Stockholm,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,24,0,8,2020,MYH 2020/5795,False
Data/IT,Dataanalytiker,Västerbotten,Lycksele,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,12,0,4,2020,MYH 2020/5795,False
Data/IT,Dataanalytiker,Västerbotten,Norsjö,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,12,0,4,2020,MYH 2020/5795,False
Data/IT,Dataanalytiker,Västra Götaland,Göteborg,6,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,3,0,21,0,7,2020,MYH 2020/5795,False
Data/IT,Databasadministratör,Stockholm,Stockholm,1,False,300,Distans,100,Edugrade AB,Privat,3,0,105,0,35,2020,MYH 2020/5833,False
Data/IT,Databasspecialist,Stockholm,Stockholm,1,False,420,Bunden,100,IT-Högskolan Stockholm AB,Privat,3,0,90,0,30,2020,MYH 2020/5881,False
Data/IT,Databasspecialist,Västra Götaland,Göteborg,1,False,420,Bunden,100,IT-Högskolan Sverige AB,Privat,3,0,90,0,30,2020,MYH 2020/5883,False
Data/IT,DevOps Engineer,Skåne,Malmö,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,3,105,105,35,2020,MYH 2020/5725,True
Data/IT,DevOps Engineer,Stockholm,Solna,1,False,400,Bunden,100,Nackademin AB,Privat,4,3,140,105,35,2020,MYH 2020/5245,True
Data/IT,DevOps Engineer,Stockholm,Stockholm,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5721,False
Data/IT,DevOps Engineer,Stockholm,Stockholm,1,False,415,Bunden,100,Chas Academy AB,Privat,4,3,140,105,35,2020,MYH 2020/5801,True
Data/IT,DevOps Engineer,Västra Götaland,Göteborg,1,False,400,Bunden,100,JENSEN Education School AB,Privat,3,0,105,0,35,2020,MYH 2020/5727,False
Data/IT,DevOps Utvecklare,Skåne,Malmö,1,False,420,Bunden,100,EC Utbildning AB Malmö,Privat,3,0,96,0,32,2020,MYH 2020/5298,False
Data/IT,Devops-utvecklare,Stockholm,Stockholm,1,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,3,0,90,0,30,2020,MYH 2020/5888,False
Data/IT,Devops-utvecklare,Västra Götaland,Göteborg,1,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,3,0,90,0,30,2020,MYH 2020/5889,False
Data/IT,Digital Learning Developer,Stockholm,Stockholm,1,False,400,Bunden,100,Workler AB,Privat,5,0,160,0,32,2020,MYH 2020/5879,False
Data/IT,Digital Transformation Manager ,Stockholm,Stockholm,1,False,150,Distans,75,Plushögskolan AB - Affärshögskolan,Privat,3,0,105,0,35,2020,MYH 2020/4792,False
Data/IT,Digital turism,Skåne,Malmö,1,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,3,0,105,0,35,2020,MYH 2020/4902,False
Data/IT,Digitaliseringsledare,Stockholm,Stockholm,1,False,100,Distans,100,IDG International Data Group AB,Privat,2,0,70,0,35,2020,MYH 2020/5815,False
Data/IT,Digitaliseringsledare (halvfart),Stockholm,Stockholm,1,False,100,Distans,50,IDG International Data Group AB,Privat,2,0,70,0,35,2020,MYH 2020/5860,False
Data/IT,E-handelsutvecklare,Stockholm,Stockholm,1,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,3,0,90,0,30,2020,MYH 2020/5856,False
Data/IT,E-handelsutvecklare,Västra Götaland,Göteborg,1,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,3,0,90,0,30,2020,MYH 2020/5857,False
Data/IT,Fintech Software Developer,Stockholm,Stockholm,1,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,3,0,105,0,35,2020,MYH 2020/5242,False
Data/IT,"Forsbergs, Spelutvecklare – Game Programming",Stockholm,Stockholm,1,False,550,Bunden,100,Forsbergs Skola,Privat,3,0,105,0,35,2020,MYH 2020/5743,False
Data/IT,Front End Developer,Gävleborg,Gävle,5,True,400,Bunden,100,KYH AB,Privat,5,3,40,24,8,2020,MYH 2020/4521,True
Data/IT,Front End Developer,Stockholm,Norrtälje,5,True,400,Bunden,100,KYH AB,Privat,5,3,50,30,10,2020,MYH 2020/4521,True
Data/IT,Front End Developer,Södermanland,Eskilstuna,5,True,400,Bunden,100,KYH AB,Privat,5,3,35,21,7,2020,MYH 2020/4521,True
Data/IT,Front End Developer,Södermanland,Katrineholm,5,True,400,Bunden,100,KYH AB,Privat,5,3,25,15,5,2020,MYH 2020/4521,True
