Diarienummer,Beslut,Kommun,Län
MYH 2024/1156,True,Göteborg,Västra Götaland
MYH 2024/1158,False,Göteborg,Västra Götaland
MYH 2024/1159,False,Liljeholmen,Stockholm
MYH 2024/1160,False,Liljeholmen,Stockholm
MYH 2024/1161,False,Vilhelmina,Västerbotten
MYH 2024/1162,True,Stockholm,Stockholm
MYH 2024/1163,False,Stockholm,Stockholm
MYH 2024/1164,True,Stockholm,Stockholm
MYH 2024/1165,True,Jönköping,Jönköping
MYH 2024/1165,True,Linköping,Östergötland
MYH 2024/1165,True,Stockholm,Stockholm
MYH 2024/1166,True,Stockholm,Stockholm
MYH 2024/1166,True,Tranås,Jönköping
MYH 2024/1166,True,Linköping,Östergötland
MYH 2024/1166,True,Helsingborg,Skåne
MYH 2024/1167,True,Stockholm,Stockholm
MYH 2024/1168,True,Stockholm,Stockholm
MYH 2024/1169,False,Uddevalla,Västra Götaland
MYH 2024/1169,False,Linköping,Östergötland
MYH 2024/1169,False,Malmö,Skåne
MYH 2024/1170,True,Stockholm,Stockholm
MYH 2024/1170,True,Göteborg,Västra Götaland
MYH 2024/1171,False,Stockholm,Stockholm
MYH 2024/1171,False,Göteborg,Västra Götaland
MYH 2024/1172,False,Umeå,Västerbotten
MYH 2024/1173,False,Norrköping,Östergötland
MYH 2024/1174,False,Norrköping,Östergötland
MYH 2024/1175,False,Norrköping,Östergötland
MYH 2024/1176,True,Enköping,Uppsala
MYH 2024/1176,True,Västerås,Västmanland
MYH 2024/1177,True,Mariestad,Västra Götaland
MYH 2024/1178,True,Jönköping,Jönköping
MYH 2024/1178,True,Tranås,Jönköping
MYH 2024/1178,True,Stockholm,Stockholm
MYH 2024/1179,True,Mariestad,Västra Götaland
MYH 2024/1180,True,Mariestad,Västra Götaland
MYH 2024/1181,False,Mariestad,Västra Götaland
MYH 2024/1181,False,Stockholm,Stockholm
MYH 2024/1182,False,Mariestad,Västra Götaland
MYH 2024/1183,False,Jönköping,Jönköping
MYH 2024/1183,False,Helsingborg,Skåne
MYH 2024/1183,False,Linköping,Östergötland
MYH 2024/1183,False,Stockholm,Stockholm
MYH 2024/1184,True,Linköping,Östergötland
MYH 2024/1184,True,Jönköping,Jönköping
MYH 2024/1185,False,Linköping,Östergötland
MYH 2024/1185,False,Stockholm,Stockholm
MYH 2024/1185,False,Helsingborg,Skåne
MYH 2024/1185,False,Jönköping,Jönköping
MYH 2024/1186,False,Stockholm,Stockholm
MYH 2024/1186,False,Linköping,Östergötland
MYH 2024/1186,False,Jönköping,Jönköping
MYH 2024/1187,True,Stockholm,Stockholm
MYH 2024/1188,False,Stockholm,Stockholm
MYH 2024/1188,False,Helsingborg,Skåne
MYH 2024/1188,False,Jönköping,Jönköping
MYH 2024/1188,False,Linköping,Östergötland
MYH 2024/1189,False,Fagersta,Västmanland
MYH 2024/1189,False,Köping,Västmanland
MYH 2024/1190,False,Huskvarna,Jönköping
MYH 2024/1191,False,Fagersta,Västmanland
MYH 2024/1191,False,Köping,Västmanland
MYH 2024/1192,False,Köping,Västmanland
MYH 2024/1192,False,Fagersta,Västmanland
MYH 2024/1193,False,Fagersta,Västmanland
MYH 2024/1193,False,Köping,Västmanland
MYH 2024/1194,False,Stockholm,Stockholm
