Diarienummer,Kommun,Län,Beslut
MYH 2020/4442,Östersund,Jämtland,True
MYH 2020/4442,Katrineholm,Södermanland,True
MYH 2020/4442,Vingåker,Södermanland,True
MYH 2020/4442,Hudiksvall,Gävleborg,True
MYH 2020/4444,Karlstad,Värmland,True
MYH 2020/4447,Lund,Skåne,False
MYH 2020/4448,Malmö,Skåne,True
MYH 2020/4448,Uddevalla,Västra Götaland,True
MYH 2020/4449,Lund,Skåne,True
MYH 2020/4450,Katrineholm,Södermanland,False
MYH 2020/4451,Jokkmokk,Norrbotten,True
MYH 2020/4454,Stockholm,Stockholm,True
MYH 2020/4456,Karlstad,Värmland,False
MYH 2020/4458,Uddevalla,Västra Götaland,True
MYH 2020/4459,Borlänge,Dalarna,False
MYH 2020/4460,Eskilstuna,Södermanland,False
MYH 2020/4461,Stockholm,Stockholm,False
MYH 2020/4463,Karlstad,Värmland,False
MYH 2020/4464,Lund,Skåne,True
MYH 2020/4465,Nyköping,Södermanland,True
MYH 2020/4466,Örebro,Örebro,True
MYH 2020/4467,Göteborg,Västra Götaland,False
MYH 2020/4468,Trollhättan,Västra Götaland,False
MYH 2020/4469,Nacka,Stockholm,False
MYH 2020/4471,Sollentuna,Stockholm,False
MYH 2020/4475,Karlstad,Värmland,True
MYH 2020/4480,Uddevalla,Västra Götaland,False
MYH 2020/4481,Jönköping,Jönköping,True
MYH 2020/4482,Malmö,Skåne,False
MYH 2020/4484,Nacka,Stockholm,False
MYH 2020/4484,Malmö,Skåne,False
MYH 2020/4485,Östersund,Jämtland,True
MYH 2020/4485,Gävle,Gävleborg,True
MYH 2020/4486,Ljungby,Kronoberg,False
MYH 2020/4486,Västervik,Kalmar,False
MYH 2020/4486,Tranås,Jönköping,False
MYH 2020/4488,Hudiksvall,Gävleborg,False
MYH 2020/4488,Gävle,Gävleborg,False
MYH 2020/4488,Söderhamn,Gävleborg,False
MYH 2020/4489,Malmö,Skåne,False
MYH 2020/4491,Nacka,Stockholm,False
MYH 2020/4492,Vingåker,Södermanland,True
MYH 2020/4492,Norrtälje,Stockholm,True
MYH 2020/4492,Malmö,Skåne,True
MYH 2020/4492,Östersund,Jämtland,True
MYH 2020/4492,Gävle,Gävleborg,True
MYH 2020/4492,Katrineholm,Södermanland,True
MYH 2020/4492,Eskilstuna,Södermanland,True
MYH 2020/4493,Malmö,Skåne,False
MYH 2020/4495,Västervik,Kalmar,False
MYH 2020/4495,Vimmerby,Kalmar,False
MYH 2020/4497,Bengtsfors,Västra Götaland,True
MYH 2020/4498,Nacka,Stockholm,False
MYH 2020/4499,Malmö,Skåne,False
MYH 2020/4505,Piteå,Norrbotten,False
MYH 2020/4505,Kalix,Norrbotten,False
MYH 2020/4506,Göteborg,Västra Götaland,False
MYH 2020/4516,Nacka,Stockholm,True
MYH 2020/4516,Ronneby,Blekinge,True
MYH 2020/4521,Vingåker,Södermanland,True
MYH 2020/4521,Katrineholm,Södermanland,True
MYH 2020/4521,Eskilstuna,Södermanland,True
MYH 2020/4521,Norrtälje,Stockholm,True
MYH 2020/4521,Gävle,Gävleborg,True
MYH 2020/4522,Lund,Skåne,False
MYH 2020/4529,Landskrona,Skåne,False
MYH 2020/4530,Stockholm,Stockholm,False
MYH 2020/4531,Lund,Skåne,True
