,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare administrativ enhet,Huvudmannatyp,Sökta platser per utbildningsomgång,Sökta platser totalt,Beviljade platser totalt,Diarienummer,Beslut,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Ansökningsomgång,Antal kommuner
57,Data/IT,Cloud och Infrastrukturspecialist,Skåne,Helsingborg,False,420,Bunden,100,EC Utbildning AB Helsingborg,Privat,32,96,0,MYH 2020/5264,False,3,0,2020,1
58,Data/IT,Cloud Software Developer,Västmanland,Västerås,False,400,Distans,100,YrkesAkademin YH AB,Privat,30,150,0,MYH 2020/4567,False,5,0,2020,1
59,Data/IT,Cloud Software Developer – AWS,Stockholm,Södertälje,False,400,Distans,100,YrkesAkademin YH AB,Privat,30,150,0,MYH 2020/4354,False,5,0,2020,1
60,Data/IT,Cloud Software Developer – AWS,Västernorrland,Sundsvall,False,400,Distans,100,YrkesAkademin YH AB,Privat,30,150,0,MYH 2020/4336,False,5,0,2020,1
61,Data/IT,Cloud Software Developer - Azure,Uppsala,Uppsala,False,400,Distans,100,YrkesAkademin YH AB,Privat,30,150,0,MYH 2020/4964,False,5,0,2020,1
62,Data/IT,Cloudutvecklare AWS,Stockholm,Stockholm,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5647,False,3,0,2020,1
63,Data/IT,Cloudutvecklare Azure,Stockholm,Stockholm,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5667,False,3,0,2020,1
64,Data/IT,Cloudutvecklare Azure,Västra Götaland,Göteborg,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5677,False,3,0,2020,1
65,Data/IT,Cloudutveckling med specialisering på Azure,Jönköping,Jönköping,True,400,Distans,100,Consid Excellerate AB ,Privat,7,35,0,MYH 2020/4805,False,5,0,2020,4
66,Data/IT,Cloudutveckling med specialisering på Azure,Skåne,Malmö,True,400,Distans,100,Consid Excellerate AB ,Privat,7,35,0,MYH 2020/4805,False,5,0,2020,4
67,Data/IT,Cloudutveckling med specialisering på Azure,Stockholm,Stockholm,True,400,Distans,100,Consid Excellerate AB ,Privat,8,40,0,MYH 2020/4805,False,5,0,2020,4
68,Data/IT,Cloudutveckling med specialisering på Azure,Västra Götaland,Göteborg,True,400,Distans,100,Consid Excellerate AB ,Privat,8,40,0,MYH 2020/4805,False,5,0,2020,4
69,Data/IT,Customer Data Developer,Stockholm,Stockholm,False,400,Bunden,100,IHM Business School AB Stockholm,Privat,35,105,0,MYH 2020/4834,False,3,0,2020,1
70,Data/IT,Customer Data Developer,Västra Götaland,Göteborg,False,400,Bunden,100,IHM Business School AB Göteborg,Privat,35,105,0,MYH 2020/4835,False,3,0,2020,1
71,Data/IT,Cyber Security Specialist,Västra Götaland,Uddevalla,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,30,150,0,MYH 2020/4616,False,5,0,2020,1
72,Data/IT,Cybersäkerhet Penetrationstestare,Dalarna,Borlänge,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
73,Data/IT,Cybersäkerhet Penetrationstestare,Jönköping,Jönköping,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
74,Data/IT,Cybersäkerhet Penetrationstestare,Kronoberg,Växjö,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
75,Data/IT,Cybersäkerhet Penetrationstestare,Skåne,Malmö,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
76,Data/IT,Cybersäkerhet Penetrationstestare,Stockholm,Stockholm,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
77,Data/IT,Cybersäkerhet Penetrationstestare,Västernorrland,Sundsvall,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
78,Data/IT,Cybersäkerhet Penetrationstestare,Västra Götaland,Göteborg,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
79,Data/IT,Cybersäkerhet Penetrationstestare,Örebro,Örebro,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
80,Data/IT,Cybersäkerhet Penetrationstestare,Östergötland,Linköping,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
81,Data/IT,Cybersäkerhet Penetrationstestare,Östergötland,Norrköping,True,400,Distans,100,Kvadrat Jönköping AB,Privat,2,6,0,MYH 2020/5521,False,3,0,2020,10
82,Data/IT,Cybersäkerhetsspecialist,Gävleborg,Gävle,True,400,Bunden,100,Iris Hadar AB,Privat,15,45,0,MYH 2020/5314,False,3,0,2020,3
83,Data/IT,Cybersäkerhetsspecialist,Västernorrland,Sundsvall,True,400,Bunden,100,Iris Hadar AB,Privat,15,45,0,MYH 2020/5314,False,3,0,2020,3
84,Data/IT,Cybersäkerhetsspecialist,Västernorrland,Örnsköldsvik,True,400,Bunden,100,Iris Hadar AB,Privat,5,15,0,MYH 2020/5314,False,3,0,2020,3
85,Data/IT,Cybersäkerhetstekniker,Stockholm,Stockholm,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5688,False,3,0,2020,1
86,Data/IT,Cybersäkerhetstekniker,Västra Götaland,Göteborg,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5695,False,3,0,2020,1
87,Data/IT,Data Analyst,Stockholm,Stockholm,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,35,175,105,MYH 2020/5145,True,5,3,2020,1
88,Data/IT,Data Artist - Machine Learning & Visual Design STOCKHOLM,Stockholm,Stockholm,False,400,Bunden,100,Medieinstitutet i Sverige AB,Privat,35,105,0,MYH 2020/5773,False,3,0,2020,1
89,Data/IT,Data Scientist,Skåne,Helsingborg,True,400,Bunden,100,EC Utbildning AB Helsingborg,Privat,15,45,45,MYH 2020/5325,True,3,3,2020,2
90,Data/IT,Data Scientist,Skåne,Malmö,True,400,Bunden,100,EC Utbildning AB Helsingborg,Privat,20,60,60,MYH 2020/5325,True,3,3,2020,2
91,Data/IT,Data Scientist,Skåne,Malmö,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5708,False,3,0,2020,1
92,Data/IT,Data Scientist,Stockholm,Solna,False,400,Bunden,100,EC Utbildning AB Stockholm,Privat,35,105,105,MYH 2020/5003,True,3,3,2020,1
93,Data/IT,Data Scientist,Stockholm,Stockholm,False,400,Bunden,100,Iris Hadar AB,Privat,34,68,0,MYH 2020/5034,False,2,0,2020,1
94,Data/IT,Data Scientist,Stockholm,Stockholm,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5705,False,3,0,2020,1
95,Data/IT,Data Scientist,Västra Götaland,Göteborg,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5710,False,3,0,2020,1
96,Data/IT,Dataanalytiker,Gävleborg,Gävle,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,15,0,MYH 2020/5795,False,3,0,2020,6
97,Data/IT,Dataanalytiker,Skåne,Malmö,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,7,21,0,MYH 2020/5795,False,3,0,2020,6
98,Data/IT,Dataanalytiker,Stockholm,Stockholm,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,8,24,0,MYH 2020/5795,False,3,0,2020,6
99,Data/IT,Dataanalytiker,Västerbotten,Lycksele,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,12,0,MYH 2020/5795,False,3,0,2020,6
100,Data/IT,Dataanalytiker,Västerbotten,Norsjö,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,12,0,MYH 2020/5795,False,3,0,2020,6
101,Data/IT,Dataanalytiker,Västra Götaland,Göteborg,True,400,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,7,21,0,MYH 2020/5795,False,3,0,2020,6
102,Data/IT,Databasadministratör,Stockholm,Stockholm,False,300,Distans,100,Edugrade AB,Privat,35,105,0,MYH 2020/5833,False,3,0,2020,1
103,Data/IT,Databasspecialist,Stockholm,Stockholm,False,420,Bunden,100,IT-Högskolan Stockholm AB,Privat,30,90,0,MYH 2020/5881,False,3,0,2020,1
104,Data/IT,Databasspecialist,Västra Götaland,Göteborg,False,420,Bunden,100,IT-Högskolan Sverige AB,Privat,30,90,0,MYH 2020/5883,False,3,0,2020,1
105,Data/IT,DevOps Engineer,Skåne,Malmö,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,105,MYH 2020/5725,True,3,3,2020,1
106,Data/IT,DevOps Engineer,Stockholm,Solna,False,400,Bunden,100,Nackademin AB,Privat,35,140,105,MYH 2020/5245,True,4,3,2020,1
107,Data/IT,DevOps Engineer,Stockholm,Stockholm,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5721,False,3,0,2020,1
108,Data/IT,DevOps Engineer,Stockholm,Stockholm,False,415,Bunden,100,Chas Academy AB,Privat,35,140,105,MYH 2020/5801,True,4,3,2020,1
