Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Huvudmannatyp,Utbildningsområde,Utbildningsnamn,YH-poäng,Studieform,Studietakt %,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2020/4039,2020,False,Forsman och Nydahl AB (MOA Lärcentrum),Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,5,0,175,0.0,35,Stockholm,Stockholm,1,False
MYH 2020/4040,2020,False,Forsman och Nydahl AB (MOA Lärcentrum),Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,5,0,175,0.0,35,Kalmar,Västervik,1,False
MYH 2020/4041,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Kvalificerad Fordonstekniker el/hybrid,300,Distans,100,3,0,84,0.0,28,Västra Götaland,Göteborg,1,False
MYH 2020/4042,2020,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Lönekonsult fokus digitala processer,300,Bunden,100,4,0,140,0.0,35,Stockholm,Stockholm,1,False
MYH 2020/4043,2020,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Business Developer E-commerce,400,Bunden,100,4,0,120,0.0,30,Stockholm,Stockholm,1,False
MYH 2020/4044,2020,False,Hermods AB Stockholm,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker,425,Bunden,100,4,0,120,0.0,30,Stockholm,Stockholm,1,False
MYH 2020/4053,2020,True,Hermods AB Örebro,Privat,Teknik och tillverkning,Kyl- och värmepumpstekniker,400,Bunden,100,3,3,90,90.0,30,Örebro,Örebro,1,False
MYH 2020/4057,2020,True,Hermods AB Göteborg,Privat,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,425,Bunden,100,4,3,136,102.0,34,Västra Götaland,Göteborg,1,False
MYH 2020/4061,2020,True,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Inköpare & Upphandlare,415,Bunden,100,5,3,175,105.0,35,Västmanland,Västerås,1,False
MYH 2020/4065,2020,True,KompetensUtvecklingsInstitutet Sverige AB,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Multisjuka Äldre,200,Distans,50,5,2,150,60.0,30,Östergötland,Linköping,1,False
MYH 2020/4066,2020,False,KompetensUtvecklingsInstitutet Sverige AB,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Multisjuka Äldre,200,Distans,50,5,0,75,0.0,15,Kronoberg,Växjö,2,True
MYH 2020/4066,2020,False,KompetensUtvecklingsInstitutet Sverige AB,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Multisjuka Äldre,200,Distans,50,5,0,75,0.0,15,Skåne,Malmö,2,True
MYH 2020/4074,2020,False,YrkesAkademin YH AB,Privat,Data/IT,Advanced Software Developer Electrical & Autonomous Vehicles,400,Distans,100,5,0,150,0.0,30,Västra Götaland,Trollhättan,1,False
MYH 2020/4075,2020,False,YrkesAkademin YH AB,Privat,Data/IT,Software Tester Embedded Systems,300,Distans,100,5,0,150,0.0,30,Västra Götaland,Trollhättan,1,False
MYH 2020/4077,2020,False,YrkesAkademin YH AB,Privat,Data/IT,Systemutvecklare .NET,400,Distans,100,5,0,150,0.0,30,Västerbotten,Umeå,1,False
MYH 2020/4082,2020,False,Hermods AB Örebro,Privat,Samhällsbyggnad och byggteknik,VVS-ingenjör,400,Bunden,100,4,0,120,0.0,30,Örebro,Örebro,1,False
MYH 2020/4115,2020,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Affärsinriktad Redovisningsekonom,425,Distans,100,5,0,175,0.0,35,Halland,Halmstad,1,False
MYH 2020/4120,2020,True,Hermods AB Göteborg,Privat,"Ekonomi, administration och försäljning",Redovisningsekonom,415,Bunden,100,4,3,140,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2020/4121,2020,False,Perstorp AB,Privat,Teknik och tillverkning,Drift- & processtekniker,400,Bunden,100,5,0,60,0.0,12,Skåne,Perstorp,1,False
MYH 2020/4167,2020,False,Borlänge kommun,Kommun,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,3,0,90,0.0,30,Dalarna,Borlänge,1,False
MYH 2020/4174,2020,True,Hermods AB Örebro,Privat,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,425,Bunden,100,4,2,120,60.0,30,Örebro,Örebro,1,False
MYH 2020/4185,2020,True,Prepress & Print Developing PPD,Privat,Teknik och tillverkning,Förpackningstekniker,400,Bunden,100,3,3,60,60.0,20,Skåne,Helsingborg,1,False
MYH 2020/4215,2020,True,Campus Nyköping,Kommun,"Ekonomi, administration och försäljning",Medicinsk Sekreterare,400,Bunden,100,2,2,30,30.0,15,Blekinge,Ronneby,2,True
MYH 2020/4215,2020,True,Campus Nyköping,Kommun,"Ekonomi, administration och försäljning",Medicinsk Sekreterare,400,Bunden,100,2,2,30,30.0,15,Södermanland,Nyköping,2,True
MYH 2020/4223,2020,False,Campus Nyköping,Kommun,"Ekonomi, administration och försäljning",Optiksäljare,200,Bunden,100,3,0,24,0.0,8,Södermanland,Eskilstuna,3,True
MYH 2020/4223,2020,False,Campus Nyköping,Kommun,"Ekonomi, administration och försäljning",Optiksäljare,200,Bunden,100,3,0,18,0.0,6,Södermanland,Katrineholm,3,True
MYH 2020/4223,2020,False,Campus Nyköping,Kommun,"Ekonomi, administration och försäljning",Optiksäljare,200,Bunden,100,3,0,48,0.0,16,Södermanland,Nyköping,3,True
MYH 2020/4229,2020,True,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Privat,Hälso- och sjukvård samt socialt arbete,Tandsköterska,325,Bunden,100,5,4,125,100.0,25,Dalarna,Falun,1,False
MYH 2020/4230,2020,True,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Privat,"Ekonomi, administration och försäljning",Medicinsk Sekreterare,400,Bunden,100,5,3,100,60.0,20,Dalarna,Falun,1,False
MYH 2020/4244,2020,True,Hermods AB Malmö,Privat,Samhällsbyggnad och byggteknik,Projektledare inom måleri,220,Distans,100,3,3,90,90.0,30,Skåne,Malmö,1,False
MYH 2020/4245,2020,False,Stiftelsen Hantverk & Utbildning,Privat,"Kultur, media och design",Guldsmed,500,Distans,100,5,0,20,0.0,4,Dalarna,Leksand,1,False
MYH 2020/4257,2020,False,Tillväxtpunkten AB,Privat,Teknik och tillverkning,Drift- och processtekniker biogasproducerande anläggning,200,Distans,100,4,0,68,0.0,17,Östergötland,Norrköping,1,False
MYH 2020/4276,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Stadsplanerare,400,Distans,100,3,0,48,0.0,16,Västernorrland,Härnösand,2,True
MYH 2020/4276,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Stadsplanerare,400,Distans,100,3,0,48,0.0,16,Västernorrland,Örnsköldsvik,2,True
MYH 2020/4289,2020,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Redovisningsekonom,415,Bunden,100,4,0,140,0.0,35,Stockholm,Stockholm,1,False
MYH 2020/4291,2020,False,Falkenbergs kommun,Kommun,Teknik och tillverkning,Husbilstekniker,200,Bunden,100,5,0,100,0.0,20,Halland,Falkenberg,1,False
MYH 2020/4294,2020,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Technical Account Manager,420,Distans,100,4,0,120,0.0,30,Stockholm,Stockholm,1,False
MYH 2020/4297,2020,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Företagssäljare/B2B,400,Distans,100,4,0,120,0.0,30,Stockholm,Stockholm,1,False
MYH 2020/4298,2020,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,315,Distans,100,5,3,175,105.0,35,Västerbotten,Umeå,1,False
MYH 2020/4300,2020,False,"Falköpings kommun, Lärcenter",Kommun,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska inom måltid och näring,100,Distans,50,3,0,75,0.0,25,Västra Götaland,Falköping,1,False
MYH 2020/4308,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,E-Drivsystemsspecialist,225,Distans,100,5,0,100,0.0,20,Stockholm,Södertälje,2,True
MYH 2020/4308,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,E-Drivsystemsspecialist,225,Distans,100,5,0,50,0.0,10,Västernorrland,Örnsköldsvik,2,True
MYH 2020/4314,2020,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Bunden,100,5,3,130,78.0,26,Västra Götaland,Uddevalla,1,False
MYH 2020/4316,2020,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,5,0,175,0.0,35,Värmland,Karlstad,1,False
MYH 2020/4317,2020,False,Plushögskolan AB - Teknikhögskolan,Privat,Data/IT,Testautomatiserare,400,Distans,100,3,0,60,0.0,20,Stockholm,Stockholm,2,True
MYH 2020/4317,2020,False,Plushögskolan AB - Teknikhögskolan,Privat,Data/IT,Testautomatiserare,400,Distans,100,3,0,45,0.0,15,Östergötland,Linköping,2,True
MYH 2020/4318,2020,True,Plushögskolan AB - Teknikhögskolan,Privat,Teknik och tillverkning,Automationsingenjör,415,Bunden,100,5,3,150,90.0,30,Östergötland,Linköping,1,False
MYH 2020/4319,2020,True,Plushögskolan AB - Teknikhögskolan,Privat,Teknik och tillverkning,CAD-konstruktör inom mekanik,425,Bunden,100,5,3,175,105.0,35,Stockholm,Stockholm,1,False
MYH 2020/4320,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Mätningsingenjör,315,Distans,100,5,0,150,0.0,30,Skåne,Helsingborg,1,False
