,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,Antal kommuner,YH-poäng,Utbildningsanordnare administrativ enhet,Diarienummer,Ansökningsomgång
1132,Samhällsbyggnad och byggteknik,Arbetsledare bygg och anläggning,Flera kommuner,Flera kommuner,True,2,300,Nackademin AB,MYH 2022/4538,2022
1133,Samhällsbyggnad och byggteknik,Arkitekturvisualisering,Västra Götaland,Göteborg,False,1,400,"Göteborgs Stad, Yrgo",MYH 2022/5058,2022
1134,Samhällsbyggnad och byggteknik,Avancerad GIS-användare,Gävleborg,Gävle,False,1,215,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,MYH 2022/5402,2022
1135,Samhällsbyggnad och byggteknik,Betongingenjör,Stockholm,Stockholm,False,1,300,Företagsekonomiska Institutet 1888 AB,MYH 2022/5493,2022
1136,Samhällsbyggnad och byggteknik,Byggingenjör - Produktion,Västra Götaland,Göteborg,False,1,415,"Göteborgs Stad, Yrgo",MYH 2022/5378,2022
1137,Samhällsbyggnad och byggteknik,"Byggingenjör, hållbart byggande",Västra Götaland,Göteborg,False,1,415,"Göteborgs Stad, Yrgo",MYH 2022/5383,2022
1138,Samhällsbyggnad och byggteknik,Bygglovshandläggare,Flera kommuner,Flera kommuner,True,2,400,YrkesAkademin YH AB,MYH 2022/4343,2022
1139,Samhällsbyggnad och byggteknik,Bygglovshandläggare/Byggnadsinspektör,Västernorrland,Örnsköldsvik,False,1,300,Kunskap & Kompetens i Sverige AB,MYH 2022/5035,2022
1140,Samhällsbyggnad och byggteknik,Byggnadsingenjör - klimat och konstruktion,Flera kommuner,Flera kommuner,True,3,400,KYH AB,MYH 2022/4685,2022
1141,Samhällsbyggnad och byggteknik,Byggnadsingenjör BIM,Stockholm,Solna,False,1,400,Nackademin AB,MYH 2022/4543,2022
1142,Samhällsbyggnad och byggteknik,Byggnadsingenjör Energi och ROT,Flera kommuner,Flera kommuner,True,2,300,YrkesAkademin YH AB,MYH 2022/4253,2022
1143,Samhällsbyggnad och byggteknik,Byggnadsingenjör hållbart byggande,Stockholm,Solna,False,1,400,Nackademin AB,MYH 2022/4484,2022
1144,Samhällsbyggnad och byggteknik,Byggnadsingenjör mark och vatten,Stockholm,Solna,False,1,400,Nackademin AB,MYH 2022/4493,2022
1145,Samhällsbyggnad och byggteknik,Byggproduktionsledare ROT,Flera kommuner,Flera kommuner,True,4,430,KYH AB,MYH 2022/4816,2022
1146,Samhällsbyggnad och byggteknik,Byggprojektör BIM,Halland,Halmstad,False,1,400,EC Utbildning AB Halmstad,MYH 2022/4401,2022
1147,Samhällsbyggnad och byggteknik,Byggprojektör BIM,Stockholm,Solna,False,1,400,EC Utbildning AB Stockholm,MYH 2022/4982,2022
1148,Samhällsbyggnad och byggteknik,Digitaliseringsutvecklare Smarta hus,Kalmar,Kalmar,False,1,300,Lernia Utbildning AB,MYH 2022/5169,2022
1149,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,Jämtland,Östersund,False,1,400,Hermods AB Östersund,MYH 2022/4165,2022
1150,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,Skåne,Malmö,False,1,400,John Ericsson Institutet,MYH 2022/5315,2022
1151,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,Flera kommuner,Flera kommuner,True,2,315,YrkesAkademin YH AB,MYH 2022/4245,2022
1152,Samhällsbyggnad och byggteknik,"Driftingenjör inom Kyla, VVS och Energi",Skåne,Eslöv,False,1,400,Karlsson Climate AB,MYH 2022/4682,2022
1153,Samhällsbyggnad och byggteknik,Energispecialist,Västra Götaland,Göteborg,False,1,425,Hermods AB Göteborg,MYH 2022/4092,2022
1154,Samhällsbyggnad och byggteknik,Entreprenadingenjör,Östergötland,Norrköping,False,1,415,East Sweden Business School AB,MYH 2022/4605,2022
1155,Samhällsbyggnad och byggteknik,Entreprenadingenjör - hållbart byggande,Skåne,Malmö,False,1,430,KYH AB Malmö,MYH 2022/4677,2022
1156,Samhällsbyggnad och byggteknik,Facility Management,Skåne,Malmö,False,1,410,Plushögskolan AB - Affärshögskolan,MYH 2022/4475,2022
1157,Samhällsbyggnad och byggteknik,Facility Management,Stockholm,Stockholm,False,1,410,Plushögskolan AB - Affärshögskolan,MYH 2022/4698,2022
1158,Samhällsbyggnad och byggteknik,Fastighets- och energitekniker,Västra Götaland,Göteborg,False,1,300,Fastighetsakademin Sverige AB,MYH 2022/4287,2022
1159,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,Skåne,Malmö,False,1,500,John Ericsson Institutet,MYH 2022/5297,2022
1160,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,Flera kommuner,Flera kommuner,True,3,500,YrkesAkademin YH AB,MYH 2022/4247,2022
1161,Samhällsbyggnad och byggteknik,Fönsterhantverkare- traditionella hantverkstekniker,Västra Götaland,Mariestad,False,1,200,"Mariestads kommun, Dacapo Mariestad",MYH 2022/4918,2022
1162,Samhällsbyggnad och byggteknik,GIS-samordnare med fokus på krisberedskap,Gävleborg,Gävle,False,1,215,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,MYH 2022/5341,2022
1163,Samhällsbyggnad och byggteknik,Hållbarhetsstrateg bygg,Kronoberg,Växjö,False,1,400,YrkesAkademin YH AB,MYH 2022/4788,2022
1164,Samhällsbyggnad och byggteknik,"Installationsingenjör solel, lagring och laddning",Flera kommuner,Flera kommuner,True,4,320,KYH AB,MYH 2022/4697,2022
1165,Samhällsbyggnad och byggteknik,Järnvägsingenjör,Dalarna,Ludvika,False,1,420,John Ericsson Institutet,MYH 2022/5476,2022
1166,Samhällsbyggnad och byggteknik,Miljösamordnare Hållbara byggnader,Västra Götaland,Göteborg,False,1,410,KYH AB Göteborg,MYH 2022/4671,2022
1167,Samhällsbyggnad och byggteknik,Miljösanerare samhällsbyggnad,Stockholm,Nynäshamn,False,1,400,YrkesAkademin YH AB,MYH 2022/4559,2022
1168,Samhällsbyggnad och byggteknik,Mätningstekniker,Västmanland,Västerås,False,1,455,Nercia Utbildning,MYH 2022/5141,2022
1169,Samhällsbyggnad och byggteknik,Mätningstekniker,Östergötland,Norrköping,False,1,415,East Sweden Business School AB,MYH 2022/4606,2022
1170,Samhällsbyggnad och byggteknik,Platschef - Bygg och anläggning,Skåne,Malmö,False,1,195,Tekniska Högskolan i Jönköping AB,MYH 2022/4998,2022
1171,Samhällsbyggnad och byggteknik,Platschef Samhällsbyggnad,Flera kommuner,Flera kommuner,True,4,200,YrkesAkademin YH AB,MYH 2022/4264,2022
1172,Samhällsbyggnad och byggteknik,Projektingenjör Järnväg,Flera kommuner,Flera kommuner,True,3,400,Hermods AB Stockholm,MYH 2022/4189,2022
1173,Samhällsbyggnad och byggteknik,Projektledare Kyla,Södermanland,Nyköping,False,1,200,INSU AB,MYH 2022/5357,2022
1174,Samhällsbyggnad och byggteknik,Projektledare Solenergi,Västra Götaland,Göteborg,False,1,410,KYH AB Göteborg,MYH 2022/4675,2022
1175,Samhällsbyggnad och byggteknik,Projektledare VVS,Flera kommuner,Flera kommuner,True,2,200,Lernia Utbildning AB,MYH 2022/5068,2022
1176,Samhällsbyggnad och byggteknik,Rörinspektör - Mark/Fastighet,Stockholm,Stockholm,False,1,300,ALEA Kompetenshöjning AB,MYH 2022/5201,2022
1177,Samhällsbyggnad och byggteknik,Rörnätstekniker/Arbetsledare–Rörnätsteknik,Kalmar,Kalmar,False,1,400,ALEA Kompetenshöjning AB,MYH 2022/4838,2022
1178,Samhällsbyggnad och byggteknik,Solenergiprojektör,Flera kommuner,Flera kommuner,True,3,400,Campus Varberg/Varbergs kommun,MYH 2022/4548,2022
1179,Samhällsbyggnad och byggteknik,Solenergitekniker,Stockholm,Nynäshamn,False,1,425,Campus Nynäshamn,MYH 2022/4772,2022
1180,Samhällsbyggnad och byggteknik,VA-ingenjör,Västra Götaland,Göteborg,False,1,420,John Ericsson Institutet,MYH 2022/5328,2022
1181,Samhällsbyggnad och byggteknik,VA-projektör,Jönköping,Jönköping,False,1,300,Tekniska Högskolan i Jönköping AB,MYH 2022/5004,2022
1182,Samhällsbyggnad och byggteknik,VA-projektör,Stockholm,Solna,False,1,300,Nackademin AB,MYH 2022/4494,2022
1183,Samhällsbyggnad och byggteknik,Vatten- & Miljötekniker,Västra Götaland,Göteborg,False,1,400,Blue Peak AB,MYH 2022/5116,2022
1184,Samhällsbyggnad och byggteknik,Vatten- & Miljötekniker,Örebro,Hallsberg,False,1,400,Blue Peak AB,MYH 2022/5130,2022
1185,Samhällsbyggnad och byggteknik,VVS- och energiingenjör,Norrbotten,Luleå,False,1,400,"Luleå kommun, Vuxenutbildningen",MYH 2022/4869,2022
1186,Samhällsbyggnad och byggteknik,VVS-ingenjör,Stockholm,Stockholm,False,1,400,TUC Sweden AB - Yrkeshögskola,MYH 2022/4422,2022
1187,Samhällsbyggnad och byggteknik,VVS-ingenjör,Flera kommuner,Flera kommuner,True,7,400,Campus Nyköping,MYH 2022/5006,2022
1188,Samhällsbyggnad och byggteknik,VVS-ingenjör - energi och teknik,Flera kommuner,Flera kommuner,True,2,415,Campus Varberg/Varbergs kommun,MYH 2022/4828,2022
1189,Samhällsbyggnad och byggteknik,VVS-tekniker Malmö/Lund,Skåne,Lund,False,1,400,Movant AB,MYH 2022/4904,2022
1190,Säkerhetstjänster,Säkerhetsingenjör,Stockholm,Södertälje,False,1,350,"Södertälje kommun, Campus Telge",MYH 2022/5386,2022
1191,Teknik och tillverkning,3D-printtekniker,Jönköping,Värnamo,False,1,400,Tekniska Högskolan i Jönköping AB,MYH 2022/4985,2022
1192,Teknik och tillverkning,3D-visualiserare inom mode och konfektion,Stockholm,Stockholm,False,1,100,Stockholms Tillskärarakademi ,MYH 2022/5409,2022
1193,Teknik och tillverkning,Additiv tillverkning - teknik och konstruktion (3D-printingspecialist),Halland,Halmstad,False,1,200,Resurs Applikation Process System i Skåne AB,MYH 2022/5242,2022
1194,Teknik och tillverkning,Anläggningsmontör Storkraftnät,Örebro,Askersund,False,1,300,Åsbro Kursgård AB,MYH 2022/4448,2022
1195,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,Västerbotten,Umeå,False,1,425,Hermods AB Umeå,MYH 2022/4167,2022
1196,Teknik och tillverkning,Automationsingenjör inom drift och service,Jönköping,Tranås,False,1,400,TUC Sweden AB - Yrkeshögskola,MYH 2022/4488,2022
1197,Teknik och tillverkning,Automationsingenjör robotik,Jönköping,Jönköping,False,1,430,Plushögskolan AB - Teknikhögskolan,MYH 2022/4502,2022
1198,Teknik och tillverkning,Automationsingenjör-Mjukvara,Jönköping,Jönköping,False,1,400,Tekniska Högskolan i Jönköping AB,MYH 2022/4986,2022
1199,Teknik och tillverkning,Automationstekniker - drift och underhåll av digitala produktionssystem,Norrbotten,Piteå,False,1,400,Lernia Utbildning AB,MYH 2022/4661,2022
1200,Teknik och tillverkning,Automationstekniker - drift och underhåll av digitala produktionssystem,Skåne,Malmö,False,1,400,Lernia Utbildning AB,MYH 2022/4663,2022
1201,Teknik och tillverkning,Avancerad CNC-tekniker - Blått certifikat,Örebro,Karlskoga,False,1,400,Karlskoga kommun/Vuxnas lärande,MYH 2022/4637,2022
1202,Teknik och tillverkning,Bagare och Konditor,Skåne,Kristianstad,False,1,215,"Kristianstad kommun, Vuxenutbildningen",MYH 2022/4570,2022
1203,Teknik och tillverkning,Bergsskoleingenjör – Berg- och anläggningsteknik,Värmland,Filipstad,False,1,600,Bergsskolan Kompetensutveckling AB,MYH 2022/5026,2022
1204,Teknik och tillverkning,Bryggeriteknik,Dalarna,Ludvika,False,1,315,Västerbergslagens utbildningsförbund - Teknik,MYH 2022/4589,2022
1205,Teknik och tillverkning,Bryggeritekniker,Stockholm,Nynäshamn,False,1,300,Campus Nynäshamn,MYH 2022/4771,2022
1206,Teknik och tillverkning,CAD-ingenjör processindustri,Västra Götaland,Göteborg,False,1,405,Plushögskolan AB - Teknikhögskolan,MYH 2022/4432,2022
1207,Teknik och tillverkning,CAD-konstruktör,Kronoberg,Växjö,False,1,400,EC Utbildning AB Växjö,MYH 2022/4453,2022
1208,Teknik och tillverkning,CAD-konstruktör,Örebro,Örebro,False,1,400,EC Utbildning AB Örebro,MYH 2022/4398,2022
1209,Teknik och tillverkning,CAD-konstruktör inom mekanik,Östergötland,Linköping,False,1,400,TUC Sweden AB - Yrkeshögskola,MYH 2022/4347,2022
1210,Teknik och tillverkning,CAD-konstruktör plast/mekanik,Västra Götaland,Mölndal,False,1,400,Campus Mölndal,MYH 2022/4971,2022
1211,Teknik och tillverkning,Certifierad CNC-tekniker,Jämtland,Östersund,False,1,270,Lernia Utbildning AB,MYH 2022/4726,2022
1212,Teknik och tillverkning,Certifierad produktionstekniker,Norrbotten,Piteå,False,1,230,Lernia Utbildning AB,MYH 2022/4845,2022
1213,Teknik och tillverkning,Certifierad produktionstekniker,Västra Götaland,Trollhättan,False,1,230,Lernia Utbildning AB,MYH 2022/5166,2022
1214,Teknik och tillverkning,CNC- och robottekniker,Södermanland,Eskilstuna,False,1,300,Kunskapscompaniet Ankaret AB,MYH 2022/4531,2022
1215,Teknik och tillverkning,CNC- och robottekniker,Örebro,Örebro,False,1,425,Hermods AB Örebro,MYH 2022/3935,2022
1216,Teknik och tillverkning,CNC Tekniker - blått certifikat,Västerbotten,Umeå,False,1,380,Umeå kommun,MYH 2022/5403,2022
1217,Teknik och tillverkning,Data Center Technician,Södermanland,Eskilstuna,False,1,415,Plushögskolan AB - Teknikhögskolan,MYH 2022/4884,2022
1218,Teknik och tillverkning,Distributionselektriker,Västmanland,Västerås,False,1,200,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,MYH 2022/5037,2022
1219,Teknik och tillverkning,Drifttekniker - processoperatör,Västernorrland,Sundsvall,False,1,400,Creando AB,MYH 2022/4851,2022
1220,Teknik och tillverkning,Drifttekniker kemisk industri,Västra Götaland,Stenungsund,False,1,400,Stenungsunds kommun,MYH 2022/4856,2022
1221,Teknik och tillverkning,Drifttekniker kraft- värmeproduktion,Västra Götaland,Göteborg,False,1,400,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,MYH 2022/5310,2022
1222,Teknik och tillverkning,"Drifttekniker, Kraft & Värme / Process",Gävleborg,Gävle,False,1,415,AVT AB,MYH 2022/5154,2022
1223,Teknik och tillverkning,"Drifttekniker, Kraft & Värme / Process",Västerbotten,Skellefteå,False,1,415,AVT AB,MYH 2022/5158,2022
