Diarienummer,Beslut,Kommun
MYH 2024/1223,True,Uppsala
MYH 2024/1224,False,Göteborg
MYH 2024/1225,False,Oskarshamn
MYH 2024/1226,True,Västerås
MYH 2024/1227,True,Solna
MYH 2024/1228,False,Rydebäck
MYH 2024/1230,True,Örnsköldsvik
MYH 2024/1232,True,Trollhättan
MYH 2024/1233,True,Västerås
MYH 2024/1234,False,Luleå
MYH 2024/1235,True,Stockholm
MYH 2024/1236,False,Luleå
MYH 2024/1237,False,Luleå
MYH 2024/1238,True,Tranås
MYH 2024/1238,True,Jönköping
MYH 2024/1238,True,Skellefteå
MYH 2024/1238,True,Helsingborg
MYH 2024/1238,True,Stockholm
MYH 2024/1239,False,Nyköping
MYH 2024/1240,True,Sundsvall
MYH 2024/1240,True,Luleå
MYH 2024/1240,True,Södertälje
MYH 2024/1241,True,Piteå
MYH 2024/1241,True,Göteborg
MYH 2024/1242,False,Gislaved
MYH 2024/1243,False,Jönköping
MYH 2024/1243,False,Stockholm
MYH 2024/1243,False,Skellefteå
MYH 2024/1243,False,Linköping
MYH 2024/1243,False,Helsingborg
MYH 2024/1244,False,Gislaved
MYH 2024/1245,False,Malmö
MYH 2024/1245,False,Stockholm
MYH 2024/1246,False,Gislaved
MYH 2024/1247,False,Göteborg
MYH 2024/1247,False,Botkyrka
MYH 2024/1248,True,Tumba
MYH 2024/1249,False,Tumba
MYH 2024/1250,False,Tumba
MYH 2024/1251,False,Lund
MYH 2024/1252,True,Nyköping
MYH 2024/1253,True,Mölndal
MYH 2024/1254,False,Göteborg
MYH 2024/1256,False,Falun
MYH 2024/1257,False,Stockholm
MYH 2024/1258,False,Stockholm
MYH 2024/1259,False,Stockholm
MYH 2024/1260,False,Stockholm
MYH 2024/1261,False,Stockholm
MYH 2024/1262,True,Skellefteå
MYH 2024/1263,False,Uddevalla
MYH 2024/1264,False,Härnösand
MYH 2024/1265,False,Malmö
MYH 2024/1265,False,Göteborg
MYH 2024/1265,False,Stockholm
MYH 2024/1265,False,Luleå
MYH 2024/1266,False,Stockholm
MYH 2024/1266,False,Luleå
MYH 2024/1266,False,Malmö
MYH 2024/1266,False,Göteborg
MYH 2024/1267,False,Malmö
MYH 2024/1267,False,Luleå
MYH 2024/1267,False,Göteborg
MYH 2024/1267,False,Stockholm
MYH 2024/1268,True,Linköping
MYH 2024/1268,True,Tranås
MYH 2024/1268,True,Jönköping
MYH 2024/1268,True,Stockholm
MYH 2024/1268,True,Helsingborg
MYH 2024/1269,True,Skellefteå
MYH 2024/1269,True,Stockholm
MYH 2024/1269,True,Jönköping
MYH 2024/1269,True,Linköping
MYH 2024/1269,True,Helsingborg
MYH 2024/1270,False,Linköping
MYH 2024/1270,False,Jönköping
MYH 2024/1270,False,Skellefteå
MYH 2024/1270,False,Helsingborg
MYH 2024/1270,False,Stockholm
MYH 2024/1271,True,Göteborg
MYH 2024/1272,True,Västerås
MYH 2024/1274,False,Västerås
MYH 2024/1276,True,Linköping
MYH 2024/1277,False,Linköping
MYH 2024/1279,True,Enköping
MYH 2024/1280,False,Linköping
MYH 2024/1281,True,Göteborg
MYH 2024/1281,True,Alingsås
MYH 2024/1282,False,Linköping
MYH 2024/1283,True,Västerås
MYH 2024/1284,True,Linköping
MYH 2024/1285,False,Linköping
MYH 2024/1286,True,Stockholm
MYH 2024/1287,True,Göteborg
MYH 2024/1288,True,Karlskoga
MYH 2024/1289,False,Göteborg
MYH 2024/1290,False,Trelleborg
MYH 2024/1291,True,Stockholm
MYH 2024/1292,True,Stockholm
MYH 2024/1294,True,Karlskoga
MYH 2024/1295,True,Helsingborg
MYH 2024/1295,True,Skellefteå
MYH 2024/1295,True,Jönköping
MYH 2024/1295,True,Linköping
MYH 2024/1295,True,Stockholm
MYH 2024/1296,True,Stockholm
MYH 2024/1297,True,Malmö
MYH 2024/1297,True,Stockholm
MYH 2024/1298,True,Stockholm
MYH 2024/1299,True,Malmö
MYH 2024/1300,False,Malmö
MYH 2024/1301,True,Malmö
MYH 2024/1302,False,Malmö
MYH 2024/1302,False,Stockholm
MYH 2024/1303,True,Göteborg
MYH 2024/1304,True,Malmö
MYH 2024/1304,True,Stockholm
MYH 2024/1305,False,Malmö
MYH 2024/1305,False,Stockholm
MYH 2024/1306,True,Malmö
MYH 2024/1307,True,Västerås
MYH 2024/1308,True,Stockholm
MYH 2024/1308,True,Malmö
MYH 2024/1308,True,Luleå
MYH 2024/1309,True,Stockholm
MYH 2024/1310,False,Stockholm
MYH 2024/1311,False,Vänersborg
MYH 2024/1312,False,Malmö
MYH 2024/1313,True,Stockholm
MYH 2024/1314,False,Göteborg
MYH 2024/1315,True,Stockholm
MYH 2024/1316,True,Uppsala
MYH 2024/1316,True,Enköping
MYH 2024/1317,True,Malmö
MYH 2024/1318,True,Stockholm
MYH 2024/1319,True,Västerås
MYH 2024/1320,False,Göteborg
MYH 2024/1321,False,Göteborg
MYH 2024/1322,True,Stockholm
MYH 2024/1323,True,Karlskoga
MYH 2024/1324,False,Karlskoga
MYH 2024/1327,True,Stockholm
MYH 2024/1328,False,Göteborg
MYH 2024/1329,True,Stockholm
MYH 2024/1330,False,Trelleborg
MYH 2024/1331,False,Göteborg
MYH 2024/1332,False,Trelleborg
MYH 2024/1333,True,Båstad
MYH 2024/1334,False,Göteborg
MYH 2024/1336,True,Västerås
MYH 2024/1337,False,Västerås
MYH 2024/1338,True,Vänersborg
MYH 2024/1340,False,Botkyrka
MYH 2024/1341,False,Mölndal
MYH 2024/1342,True,Uppsala
MYH 2024/1343,False,Göteborg
MYH 2024/1344,False,Stockholm
MYH 2024/1345,True,Gnosjö
MYH 2024/1345,True,Göteborg
MYH 2024/1347,True,Göteborg
MYH 2024/1348,True,Göteborg
MYH 2024/1349,True,Stockholm
MYH 2024/1350,True,Uppsala
MYH 2024/1351,True,Malmö
MYH 2024/1352,True,Malmö
MYH 2024/1353,True,Stockholm
MYH 2024/1354,True,Stockholm
MYH 2024/1355,False,Mölndal
MYH 2024/1356,True,Stockholm
